asset_id,theme_id,relationship_type,confidence,description
A_1243,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_1244,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_1245,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_1246,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_1247,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_1248,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_1249,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_083,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_1250,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_1251,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_091,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
A_979,T_191,THEMED_AS,0.95,K-로봇 테마 관련 기업
