asset_id,theme_id,relation_type,confidence,description
A_160,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_161,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_162,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_163,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_164,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_165,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_166,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_167,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_168,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_169,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_170,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_171,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_172,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
A_173,T_017,THEMED_AS,0.90,"G17 글로벌소형원전 테마 구성"
