from_asset_id,to_business_field_id,relation_type,confidence,description
A_165,BF_037,OPERATES,0.85,"우라늄/핵연료 밸류체인"
A_166,BF_037,OPERATES,0.85,"핵연료/농축 관련 밸류체인"
A_161,BF_038,OPERATES,0.85,"원전 기자재/발전기기 밸류체인"
A_167,BF_038,OPERATES,0.80,"원전/전력설비 밸류체인"
A_169,BF_038,OPERATES,0.80,"원전 부품/제작 밸류체인"
A_168,BF_039,OPERATES,0.85,"SMR 개발(Gen3.5)"
A_162,BF_039,OPERATES,0.80,"SMR 프로젝트/공급망(Gen3.5)"
A_172,BF_039,OPERATES,0.80,"원전 기술/프로젝트(Gen3.5)"
A_173,BF_039,OPERATES,0.80,"원전 기술/공급망(Gen3.5)"
A_163,BF_040,OPERATES,0.85,"차세대 원자로(Gen4)"
A_164,BF_040,OPERATES,0.85,"차세대 원자로(Gen4)"
A_170,BF_041,OPERATES,0.85,"MMR/소형 원자로 개발"
A_171,BF_041,OPERATES,0.80,"MMR/마이크로리액터 개발"
