asset_id,theme_id,relation_type,confidence,description
A_080,T_112,THEMED_AS,0.92,카메라모듈핵심공급
A_821,T_112,THEMED_AS,0.88,인도조립거점공급
A_644,T_112,THEMED_AS,0.95,주요조립핵심축
A_820,T_112,THEMED_AS,0.88,인도조립거점공급
A_146,T_112,THEMED_AS,0.9,배터리공급
A_819,T_112,THEMED_AS,0.86,배터리공급
A_818,T_112,THEMED_AS,0.9,배터리공급
A_457,T_112,THEMED_AS,0.92,기판/커넥터핵심공급
A_462,T_112,THEMED_AS,0.9,기판/커넥터공급
A_817,T_112,THEMED_AS,0.89,기판/커넥터공급
A_085,T_112,THEMED_AS,0.92,기판/커넥터핵심공급
A_816,T_112,THEMED_AS,0.93,디스플레이공급
A_815,T_112,THEMED_AS,0.9,디스플레이공급
A_686,T_112,THEMED_AS,0.91,디스플레이공급
A_232,T_112,THEMED_AS,0.96,반도체제조핵심축
A_374,T_112,THEMED_AS,0.99,제품설계및AP설계주체
