from_asset_id,to_business_field_id,relation_type,confidence,description
A_080,BF_210,OPERATES,0.95,카메라모듈사업
A_821,BF_211,OPERATES,0.9,인도조립사업
A_644,BF_211,OPERATES,0.97,조립사업
A_820,BF_211,OPERATES,0.9,인도조립사업
A_146,BF_032,OPERATES,0.92,배터리사업
A_819,BF_032,OPERATES,0.88,배터리사업
A_818,BF_032,OPERATES,0.9,배터리사업
A_457,BF_216,OPERATES,0.95,기판/커넥터사업
A_462,BF_216,OPERATES,0.92,기판/커넥터사업
A_817,BF_216,OPERATES,0.9,기판/커넥터사업
A_085,BF_216,OPERATES,0.94,기판/커넥터사업
A_816,BF_215,OPERATES,0.95,디스플레이사업
A_815,BF_215,OPERATES,0.93,디스플레이사업
A_686,BF_215,OPERATES,0.94,디스플레이사업
A_232,BF_214,OPERATES,0.98,반도체제조사업
A_374,BF_212,OPERATES,0.98,제품설계주체
A_374,BF_213,OPERATES,0.98,AP설계및칩아키텍처주체
