asset_id,theme_id,relation_type,confidence,description
A_608,T_072,THEMED_AS,0.95,탄소포집환경설비기업
A_386,T_072,THEMED_AS,0.95,CCUS플랜트/EPC수혜가능기업
A_383,T_072,THEMED_AS,0.95,에너지/플랜트EPC수혜가능기업
A_161,T_072,THEMED_AS,0.95,발전설비/친환경플랜트축기업
A_609,T_072,THEMED_AS,0.90,탄소포집용흡수제관련소재기업
A_610,T_072,THEMED_AS,0.90,CCUS/탄소저감화학소재관련기업
A_611,T_072,THEMED_AS,0.88,석회/탄산칼슘기반소재관련기업
A_612,T_072,THEMED_AS,0.88,정밀화학소재관련기업
A_613,T_072,THEMED_AS,0.92,분리막기반가스분리기업
A_614,T_072,THEMED_AS,0.92,온실가스저감/환경솔루션기업
A_615,T_072,THEMED_AS,0.90,바이오가스/온실가스감축관련기업
A_616,T_072,THEMED_AS,0.92,탄소배출권/감축사업전문기업
