asset_id,theme_id,relationship_type,confidence,description
A_1025,T_222,THEMED_AS,0.95,전해질 첨가제 기반 2차전지 소재 기업
A_1423,T_222,THEMED_AS,0.98,K-2차전지 지주 및 소재 밸류체인
A_475,T_222,THEMED_AS,0.99,양극재 중심 2차전지 핵심 소재 기업
A_752,T_222,THEMED_AS,0.99,양극재 및 음극재 생산 기업
A_1027,T_222,THEMED_AS,0.97,분리막 전문 기업
A_1424,T_222,THEMED_AS,0.96,습식 분리막 제조 기업
A_146,T_222,THEMED_AS,0.99,글로벌 배터리셀 제조 기업
A_147,T_222,THEMED_AS,0.99,글로벌 EV 배터리셀 제조 기업
A_103,T_222,THEMED_AS,0.97,배터리 및 에너지 사업 보유
A_1425,T_222,THEMED_AS,0.93,폐배터리 소재 회수 기업
A_1426,T_222,THEMED_AS,0.95,폐배터리 리사이클링 기업
