asset_id,theme_id,relation_type,confidence,description
A_038,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_466,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_467,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_468,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_469,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_470,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_471,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_472,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_473,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_474,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_475,T_057,THEMED_AS,0.9,코스닥 액티브 ETF 구성 종목
A_464,T_057,THEMED_AS,0.95,코스닥 액티브 ETF
A_465,T_057,THEMED_AS,0.95,코스닥 액티브 ETF
