from_asset_id,to_business_field_id,relation_type,confidence,description
A_055,BF_009,OPERATES,0.95,AI칩
A_056,BF_009,OPERATES,0.95,AI칩
A_058,BF_017,OPERATES,0.95,표준아키텍처
A_057,BF_019,OPERATES,0.95,엣지AI
A_086,BF_036,OPERATES,0.9,카메라센서
A_060,BF_047,OPERATES,0.9,전력신호
A_061,BF_047,OPERATES,0.9,전력신호
A_062,BF_018,OPERATES,0.9,MCU
A_197,BF_047,OPERATES,0.9,전력반도체
A_198,BF_047,OPERATES,0.9,전력반도체
A_189,BF_047,OPERATES,0.9,아날로그칩
A_237,BF_020,OPERATES,0.95,EDA소프트웨어
A_453,BF_020,OPERATES,0.95,EDA소프트웨어
A_049,BF_010,OPERATES,0.9,AI플랫폼
A_450,BF_010,OPERATES,0.9,AI플랫폼
A_451,BF_036,OPERATES,0.9,센서
A_291,BF_076,OPERATES,0.95,라이다
A_452,BF_009,OPERATES,0.9,AI칩
