asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_004,Hyundai Motor,현대차,005380,KOSPI,KR,STOCK
A_055,NVIDIA,엔비디아,NVDA,NASDAQ,US,STOCK
A_082,ROBOTIS,로보티즈,108490,KOSDAQ,KR,STOCK
A_100,Schneider Electric,슈나이더일렉트릭,SU,EURONEXT,FR,STOCK
A_148,Hyundai AutoEver,현대오토에버,307950,KOSPI,KR,STOCK
A_149,Hyundai Mobis,현대모비스,012330,KOSPI,KR,STOCK
A_150,HL Mando,HL만도,204320,KOSPI,KR,STOCK
A_242,Intel,인텔,INTC,NASDAQ,US,STOCK
A_282,Kyeyang Electric,계양전기,012200,KOSPI,KR,STOCK
A_283,Clobot,클로봇,466100,KOSDAQ,KR,STOCK
A_285,Boston Dynamics,보스턴다이내믹스,,,US,STOCK
A_286,ABB,ABB,ABB,NYSE,US,STOCK
A_287,Velodyne Lidar,벨로다인,VLDR,NASDAQ,US,STOCK
A_288,SOS LAB,에스오에스랩,464080,KOSDAQ,KR,STOCK
A_289,Mobase Electronics,모베이스전자,101330,KOSDAQ,KR,STOCK
A_290,SamHyun,삼현,437730,KOSDAQ,KR,STOCK
A_291,Hesai Technology,헤사이테크놀로지,HSAI,NASDAQ,US,STOCK
