from_asset_id,to_theme_id,relationship_type,confidence,description
A_1487,T_235,THEMED_AS,0.99,국가별장기국채ETF테마구성자산
A_1519,T_235,THEMED_AS,0.94,호주장기국채ETF테마구성자산
A_1520,T_235,THEMED_AS,0.94,캐나다장기국채ETF테마구성자산
A_1521,T_235,THEMED_AS,0.93,일본장기국채ETF테마구성자산
A_1522,T_235,THEMED_AS,0.94,영국장기국채ETF테마구성자산
A_1523,T_235,THEMED_AS,0.94,독일장기국채ETF테마구성자산
A_1524,T_235,THEMED_AS,0.94,유로존장기국채ETF테마구성자산
A_1525,T_235,THEMED_AS,0.92,한국중장기국채ETF테마구성자산
A_1526,T_235,THEMED_AS,0.88,브라질통화채권ETF테마구성자산
A_1527,T_235,THEMED_AS,0.90,신흥국달러표시채권ETF테마구성자산
A_1528,T_235,THEMED_AS,0.90,신흥국현지통화채권ETF테마구성자산
A_1529,T_235,THEMED_AS,0.91,국제국채ETF테마구성자산
