asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_167,GE Vernova,GE버노바,GEV,NYSE,US,STOCK
A_161,Doosan Enerbility,두산에너빌리티,034020,KOSPI,KR,STOCK
A_310,Caterpillar,캐터필라,CAT,NYSE,US,STOCK
A_396,Cummins,커민스,CMI,NYSE,US,STOCK
A_162,Rolls-Royce Holdings,롤스로이스,RR.,LSE,GB,STOCK
A_755,Bloom Energy,블룸에너지,BE,NYSE,US,STOCK
A_661,HD Hyundai Infracore,HD현대인프라코어,042670,KOSPI,KR,STOCK
A_792,Wartsila,바르질라,,HEL,FI,STOCK
A_793,Generac,제너랙,GNRC,NYSE,US,STOCK
A_794,Hanwha Systems,한화시스템,272210,KOSPI,KR,STOCK
