asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_019,Coupang,쿠팡,CPNG,NYSE,US,STOCK
A_012,CJ Logistics,CJ대한통운,000120,KOSPI,KR,STOCK
A_513,NAVER Corporation,NAVER,035420,KOSPI,KR,STOCK
A_868,Dongbang,동방,004140,KOSPI,KR,STOCK
A_869,KCTC,KCTC,009070,KOSPI,KR,STOCK
A_093,CMES,씨메스,475400,KOSDAQ,KR,STOCK
A_975,Lotte Shopping,롯데쇼핑,023530,KOSPI,KR,STOCK
A_976,E-Mart,이마트,139480,KOSPI,KR,STOCK
A_977,Jenix Robotics,제닉스로보틱스,032110,KOSDAQ,KR,STOCK
A_978,Konic Automation,코닉오토메이션,391710,KOSDAQ,KR,STOCK
