asset_id,theme_id,relation_type,confidence,description
A_119,T_013,THEMED_AS,0.95,
A_120,T_013,THEMED_AS,0.95,
A_121,T_013,THEMED_AS,0.95,
A_122,T_013,THEMED_AS,0.95,
A_123,T_013,THEMED_AS,0.95,
A_124,T_013,THEMED_AS,0.95,
A_125,T_013,THEMED_AS,0.95,
A_126,T_013,THEMED_AS,0.95,
A_127,T_013,THEMED_AS,0.95,
A_128,T_013,THEMED_AS,0.95,
A_129,T_013,THEMED_AS,0.95,
A_130,T_013,THEMED_AS,0.95,
A_131,T_013,THEMED_AS,0.95,
A_132,T_013,THEMED_AS,0.95,
A_133,T_013,THEMED_AS,0.95,
A_134,T_013,THEMED_AS,0.95,
A_135,T_013,THEMED_AS,0.95,
A_136,T_013,THEMED_AS,0.95,
