asset_id,theme_id,relationship_type,confidence,description
A_1288,T_005,THEMED_AS,0.95,미국데이터센터REIT
A_826,T_005,THEMED_AS,0.95,글로벌데이터센터운영
A_1289,T_005,THEMED_AS,0.90,데이터센터EPC관련건설사
A_1290,T_005,THEMED_AS,0.90,데이터센터EPC및엔지니어링
A_1291,T_005,THEMED_AS,0.90,데이터센터EPC및엔지니어링
A_494,T_005,THEMED_AS,0.90,데이터센터EPC관련기업
A_099,T_005,THEMED_AS,0.95,데이터센터냉각전력인프라
A_100,T_005,THEMED_AS,0.95,데이터센터전력관리
A_955,T_005,THEMED_AS,0.95,데이터센터전력설비
A_900,T_005,THEMED_AS,0.90,광케이블및소재
A_1292,T_005,THEMED_AS,0.90,광케이블배선인프라
A_1293,T_005,THEMED_AS,0.90,데이터센터건축자재
A_1294,T_005,THEMED_AS,0.90,데이터센터건축자재
A_1295,T_005,THEMED_AS,0.90,데이터센터철강자재
