from_asset_id,to_business_field_id,relationship_type,confidence,description
A_1288,BF_160,OPERATES,0.95,데이터센터개발및운영
A_826,BF_160,OPERATES,0.95,데이터센터개발및운영
A_1289,BF_179,OPERATES,0.90,데이터센터EPC
A_1290,BF_179,OPERATES,0.90,데이터센터EPC
A_1291,BF_179,OPERATES,0.90,데이터센터EPC
A_494,BF_179,OPERATES,0.90,데이터센터EPC
A_099,BF_143,OPERATES,0.95,냉각UPS전력인프라
A_100,BF_143,OPERATES,0.95,냉각UPS전력인프라
A_955,BF_143,OPERATES,0.95,냉각UPS전력인프라
A_900,BF_360,OPERATES,0.90,광케이블배선
A_1292,BF_360,OPERATES,0.90,광케이블배선
A_1293,BF_180,OPERATES,0.90,건축자재
A_1294,BF_180,OPERATES,0.90,건축자재
A_1295,BF_180,OPERATES,0.90,건축자재
