asset_id,theme_id,relationship_type,confidence,description
A_1154,T_173,THEMED_AS,0.95,K-뷰티 대표 브랜드 기업
A_1167,T_173,THEMED_AS,0.95,K-뷰티 대표 브랜드 기업
A_1155,T_173,THEMED_AS,0.95,K-뷰티 화장품 ODM 대표 기업
A_1156,T_173,THEMED_AS,0.95,K-뷰티 화장품 ODM 대표 기업
A_1161,T_173,THEMED_AS,0.90,K-뷰티 화장품 패키징 기업
A_1162,T_173,THEMED_AS,0.90,K-뷰티 인디브랜드
A_1163,T_173,THEMED_AS,0.90,K-뷰티 인디브랜드
A_1164,T_173,THEMED_AS,0.90,K-뷰티 인디브랜드
A_1165,T_173,THEMED_AS,0.90,K-뷰티 인디브랜드
A_018,T_173,THEMED_AS,0.90,K-뷰티 핵심 유통 채널
A_1166,T_173,THEMED_AS,0.90,K-뷰티 글로벌 유통 플랫폼
