from_asset_id,to_business_field_id,relation_type,confidence,description
A_545,BF_047,OPERATES,0.95,전력기기 및 통합신호 사업
A_1051,BF_047,OPERATES,0.95,중전기 및 전력기기 사업
A_1050,BF_047,OPERATES,0.95,초고압 전력기기 사업
A_578,BF_047,OPERATES,0.88,전력 계통 장비 사업
A_1052,BF_047,OPERATES,0.93,배전·전력기기 사업
A_1053,BF_047,OPERATES,0.93,전선·전력기기 사업
A_1054,BF_047,OPERATES,0.93,전력기기 사업
A_1048,BF_047,OPERATES,0.97,초고압 케이블 및 전력망 사업
A_675,BF_047,OPERATES,0.96,전선 사업
A_656,BF_047,OPERATES,0.92,전선 사업
A_655,BF_047,OPERATES,0.90,전선 사업
A_1049,BF_038,OPERATES,0.90,전선 소재 관련 사업
A_539,BF_038,OPERATES,0.94,전선 소재 관련 사업 영위
A_809,BF_048,OPERATES,0.97,HVDC 및 전력 인프라 관련 사업
