asset_id,theme_id,relation_type,confidence,description
A_912,T_128,THEMED_AS,0.95,밈주식대표ETF
A_913,T_128,THEMED_AS,0.95,소셜센티먼트대표ETF
A_002,T_128,THEMED_AS,0.85,소셜센티먼트상위대형주
A_055,T_128,THEMED_AS,0.85,소셜센티먼트상위대형주
A_056,T_128,THEMED_AS,0.85,소셜센티먼트상위대형주
A_914,T_128,THEMED_AS,0.95,대표적인밈주식
A_831,T_128,THEMED_AS,0.90,소셜모멘텀밈주식
A_918,T_128,THEMED_AS,0.85,고위험밈주식
A_346,T_128,THEMED_AS,0.95,개인투자자선호대표주
A_347,T_128,THEMED_AS,0.95,암호화폐밈주식대표
A_917,T_128,THEMED_AS,0.95,비트코인민감밈주식
A_916,T_128,THEMED_AS,0.95,암호화폐고변동밈주식
A_915,T_128,THEMED_AS,0.90,핀테크밈주식
A_350,T_128,THEMED_AS,0.90,핀테크밈주식
A_506,T_128,THEMED_AS,0.80,소셜센티먼트관련대형기술주
