asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_1192,Hyundai Rotem,현대로템,064350,KOSPI,KR,STOCK
A_1193,Poongsan,풍산,103140,KOSPI,KR,STOCK
A_1194,LIG Nex1,LIG넥스원,079550,KOSPI,KR,STOCK
A_1195,Hanwha Ocean,한화오션,042660,KOSPI,KR,STOCK
A_1196,HD Hyundai Heavy Industries,HD현대중공업,329180,KOSPI,KR,STOCK
A_1197,Hanwha Aerospace,한화에어로스페이스,012450,KOSPI,KR,STOCK
A_1198,Korea Aerospace Industries,한국항공우주,047810,KOSPI,KR,STOCK
A_1199,SNT Motiv,SNT모티브,064960,KOSPI,KR,STOCK
A_1200,Hanwha Systems,한화시스템,272210,KOSPI,KR,STOCK
A_1201,Korea Optical Communication,대한광통신,010170,KOSPI,KR,STOCK
