asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_603,POSCO Holdings,포스코홀딩스,005490,KOSPI,KR,STOCK
A_538,Hanwha Solutions,한화솔루션,009830,KOSPI,KR,STOCK
A_149,Hyundai Mobis,현대모비스,012330,KOSPI,KR,STOCK
A_745,Hanwha Aerospace,한화에어로스페이스,012450,KOSPI,KR,STOCK
A_004,Hyundai Motor,현대차,005380,KOSPI,KR,STOCK
A_161,Doosan Enerbility,두산에너빌리티,034020,KOSPI,KR,STOCK
A_750,Doosan Fuel Cell,두산퓨얼셀,336260,KOSPI,KR,STOCK
A_751,Bumhan Fuel Cell,범한퓨얼셀,382900,KOSDAQ,KR,STOCK
A_752,POSCO Future M,포스코퓨처엠,003670,KOSPI,KR,STOCK
A_753,Hyosung Heavy Industries,효성중공업,298040,KOSPI,KR,STOCK
A_754,Plug Power,플러그파워,PLUG,NASDAQ,US,STOCK
A_755,Bloom Energy,블룸에너지,BE,NYSE,US,STOCK
A_756,RISE Global Hydrogen Economy ETF,RISE글로벌수소경제ETF,417450,KRX,KR,ETF
A_757,RISE Hydrogen Economy Theme ETF,RISE수소경제테마ETF,367770,KRX,KR,ETF
