asset_id,theme_id,relation_type,confidence,description
A_744,T_097,THEMED_AS,0.95,중동 방산 및 철도 수출 확대
A_745,T_097,THEMED_AS,0.95,항공/방산 수출 증가
A_670,T_097,THEMED_AS,0.95,유도무기 및 방산 시스템
A_746,T_097,THEMED_AS,0.85,중동 건설 인프라 냉각/설비
A_658,T_097,THEMED_AS,0.95,건설장비 수요 증가
A_661,T_097,THEMED_AS,0.95,중장비 수요 확대
A_747,T_097,THEMED_AS,0.95,글로벌 건설장비 수혜
A_388,T_097,THEMED_AS,0.95,중동 EPC 프로젝트 수혜
A_385,T_097,THEMED_AS,0.95,EPC 사업 확대
A_383,T_097,THEMED_AS,0.95,플랜트 EPC 수주
A_384,T_097,THEMED_AS,0.9,글로벌 인프라 참여
A_387,T_097,THEMED_AS,0.95,대형 건설 프로젝트 수혜
