from_asset_id,to_business_field_id,relation_type,confidence,description
A_849,BF_228,OPERATES,0.95,양자통신관련네트워크장비및솔루션
A_850,BF_228,OPERATES,0.90,양자통신관련소재및부품영역
A_591,BF_228,OPERATES,0.94,양자통신관련유무선통신장비영역
A_593,BF_228,OPERATES,0.94,양자통신관련광전송및네트워크영역
A_851,BF_229,OPERATES,0.95,양자보안게이트웨이및보안솔루션
A_852,BF_229,OPERATES,0.93,양자보안인증및보안시스템
A_853,BF_229,OPERATES,0.94,양자보안및암호보안영역
A_854,BF_230,OPERATES,0.92,양자칩/반도체/센서관련부품영역
A_855,BF_230,OPERATES,0.92,양자칩/반도체/센서관련광소자영역
A_856,BF_230,OPERATES,0.92,양자칩/반도체/센서관련반도체영역
A_857,BF_230,OPERATES,0.92,양자칩/반도체/센서관련센서영역
