from_asset_id,to_business_field_id,relation_type,confidence,description
A_828,BF_218,OPERATES,0.95,배급사업영위
A_828,BF_219,OPERATES,0.95,CNN브랜드및채널자산보유
A_828,BF_220,OPERATES,0.95,디스커버리브랜드운영
A_828,BF_221,OPERATES,0.96,HBO브랜드운영
A_828,BF_222,OPERATES,0.96,콘텐츠제작사업영위
A_829,BF_222,OPERATES,0.93,콘텐츠제작사업영위
A_830,BF_222,OPERATES,0.93,콘텐츠제작사업영위
A_328,BF_222,OPERATES,0.96,콘텐츠제작사업영위
A_328,BF_011,OPERATES,0.95,스트리밍사업영위
A_326,BF_011,OPERATES,0.98,스트리밍전문사업자
A_831,BF_011,OPERATES,0.93,스트리밍플랫폼연계생태계
A_831,BF_223,OPERATES,0.97,CTV광고플랫폼사업영위
A_832,BF_224,OPERATES,0.94,케이블및PAY TV자산운영
A_833,BF_225,OPERATES,0.98,극장체인운영
