asset_id,theme_id,relationship_type,confidence,description
A_1142,T_170,THEMED_AS,0.95,카지노 관광 수요 영향
A_1143,T_170,THEMED_AS,0.95,카지노 관광 수요 영향
A_1144,T_170,THEMED_AS,0.90,면세/호텔 수요 영향
A_1145,T_170,THEMED_AS,0.90,게임 판호 영향
A_1146,T_170,THEMED_AS,0.90,게임 판호 영향
A_1147,T_170,THEMED_AS,0.90,게임 판호 영향
A_1148,T_170,THEMED_AS,0.85,K-콘텐츠 수출
A_1149,T_170,THEMED_AS,0.85,K-콘텐츠 수출
A_1150,T_170,THEMED_AS,0.85,K-콘텐츠 수출
A_1151,T_170,THEMED_AS,0.85,K-콘텐츠 수출
A_1152,T_170,THEMED_AS,0.85,K-콘텐츠 제작
A_1153,T_170,THEMED_AS,0.85,K-콘텐츠 제작
A_1154,T_170,THEMED_AS,0.85,K-화장품 수출
A_1155,T_170,THEMED_AS,0.85,K-화장품 수출
A_1156,T_170,THEMED_AS,0.85,K-화장품 수출
