asset_id,bf_id,relationship_type,confidence,description
A_1175,BF_304,OPERATES,0.9,SGA 네트워크보안
A_1174,BF_304,OPERATES,0.9,윈스 네트워크보안
A_1173,BF_304,OPERATES,0.9,모니터랩 방화벽
A_1172,BF_305,OPERATES,0.9,이글루코퍼레이션 관제
A_1171,BF_305,OPERATES,0.9,센즈랩 인텔리전스
A_1182,BF_306,OPERATES,0.95,안랩 엔드포인트보안
A_1183,BF_306,OPERATES,0.9,한싹 백신/보안
A_1177,BF_307,OPERATES,0.9,라온시큐어 양자보안
A_1178,BF_307,OPERATES,0.9,지니언스 양자보안
A_522,BF_308,OPERATES,0.9,아톤 인증
A_1180,BF_308,OPERATES,0.9,한국정보인증 전자서명
A_1176,BF_309,OPERATES,0.9,소프트캠프 문서보안
