asset_id,bf_id,relationship_type,confidence,description
A_816,BF_391,OPERATES,0.99,OLED 패널 제조
A_815,BF_391,OPERATES,0.98,중국 OLED 패널 생산
A_1370,BF_391,OPERATES,0.97,중국 OLED 패널 사업
A_1371,BF_390,OPERATES,0.98,OLED 증착장비 제조
A_374,BF_163,OPERATES,0.95,프리미엄 OLED IT기기 생태계 주도
A_686,BF_391,OPERATES,0.99,OLED 패널 제조
A_1372,BF_390,OPERATES,0.96,OLED 증착장비 제조
A_905,BF_390,OPERATES,0.96,OLED 공정장비 제조
A_1373,BF_390,OPERATES,0.97,OLED 공정장비 제조
A_907,BF_390,OPERATES,0.97,OLED 공정장비 제조
A_1374,BF_390,OPERATES,0.99,OLED 증착장비 핵심 제조
A_952,BF_390,OPERATES,0.95,OLED 제조장비 공급
A_627,BF_392,OPERATES,0.99,OLED 유기소재 공급
A_146,BF_161,OPERATES,0.92,중소형 OLED 응용 사업
A_1375,BF_389,OPERATES,0.95,OLED 검사장비 제조
A_1376,BF_389,OPERATES,0.94,OLED 검사솔루션 공급
