from_asset_id,to_business_field_id,relation_type,confidence,description
A_402,BF_096,OPERATES,0.93,자산관리 사업 영위
A_403,BF_096,OPERATES,0.92,자산관리 사업 영위
A_404,BF_096,OPERATES,0.92,자산관리 사업 영위
A_405,BF_095,OPERATES,0.94,부동산관리 사업 영위
A_406,BF_095,OPERATES,0.94,부동산관리 사업 영위
A_407,BF_095,OPERATES,0.94,부동산관리 사업 영위
A_408,BF_097,OPERATES,0.95,SaaS 사업 영위
A_044,BF_097,OPERATES,0.95,SaaS 사업 영위
A_046,BF_097,OPERATES,0.95,SaaS 사업 영위
A_409,BF_098,OPERATES,0.93,차량보유화물중개 사업 영위
A_410,BF_098,OPERATES,0.93,차량보유화물중개 사업 영위
A_411,BF_099,OPERATES,0.93,화물중개브로커리지 사업 영위
A_412,BF_099,OPERATES,0.93,화물중개브로커리지 사업 영위
