asset_id,theme_id,relation_type,confidence,description
A_1136,T_217,THEMED_AS,0.95,롯데그룹 핵심 배터리소재 계열사
A_1226,T_217,THEMED_AS,0.88,롯데그룹 금융 계열사
A_1361,T_217,THEMED_AS,0.95,롯데그룹 핵심 화학 계열사
A_1366,T_217,THEMED_AS,0.92,롯데그룹 정밀화학 계열사
A_1395,T_217,THEMED_AS,0.99,롯데그룹 지주회사
A_1396,T_217,THEMED_AS,0.94,롯데그룹 식품 계열사
A_1397,T_217,THEMED_AS,0.93,롯데그룹 음료 계열사
A_1398,T_217,THEMED_AS,0.95,롯데그룹 유통 계열사
A_1399,T_217,THEMED_AS,0.90,롯데그룹 IT서비스 계열사
A_1400,T_217,THEMED_AS,0.90,롯데그룹 전자유통 계열사
A_1401,T_217,THEMED_AS,0.89,롯데그룹 리츠 계열사
