asset_id,theme_id,relation_type,confidence,description
A_489,T_060,THEMED_AS,0.95,미국 LNG 수출 핵심 기업
A_487,T_060,THEMED_AS,0.95,미국 천연가스 생산 핵심 기업
A_490,T_060,THEMED_AS,0.95,북미 가스 인프라 핵심 기업
A_491,T_060,THEMED_AS,0.95,미국 가스 파이프라인 핵심 기업
A_492,T_060,THEMED_AS,0.95,LNG 설비 및 저장 장비 기업
A_493,T_060,THEMED_AS,0.95,LNG 프로젝트 EPC 및 해양 엔지니어링 기업
A_494,T_060,THEMED_AS,0.95,LNG 플랜트 EPC 기업
A_495,T_060,THEMED_AS,0.95,LNG 해상 운송 및 FLNG 기업
A_496,T_060,THEMED_AS,0.95,LNG 운송 선사
A_497,T_060,THEMED_AS,0.85,유럽 친환경/에너지전환 ETF
A_498,T_060,THEMED_AS,0.95,글로벌 청정에너지 ETF
A_499,T_060,THEMED_AS,0.95,유럽 탄소배출권 ETC
A_500,T_060,THEMED_AS,0.95,글로벌 청정에너지 전환 UCITS ETF
A_501,T_060,THEMED_AS,0.95,재생에너지 UCITS ETF
