asset_id,etf_id,relation_type,confidence,description
A_211,A_938,IN_ETF,0.95,SKYY 구성 종목
A_274,A_938,IN_ETF,0.95,SKYY 구성 종목
A_210,A_938,IN_ETF,0.95,SKYY 구성 종목
A_935,A_939,IN_ETF,0.95,BUG 구성 종목
A_280,A_939,IN_ETF,0.95,BUG 구성 종목
A_506,A_939,IN_ETF,0.95,BUG 구성 종목
A_801,A_940,IN_ETF,0.95,QTUM 구성 종목
A_936,A_940,IN_ETF,0.95,QTUM 구성 종목
A_055,A_940,IN_ETF,0.95,QTUM 구성 종목
A_270,A_144,IN_ETF,0.95,ARKQ 구성 종목
A_937,A_144,IN_ETF,0.95,ARKQ 구성 종목
A_002,A_144,IN_ETF,0.95,ARKQ 구성 종목
A_055,A_144,IN_ETF,0.95,ARKQ 구성 종목
