asset_id,bf_id,relationship_type,confidence,description
A_167,BF_353,OPERATES,0.99,가스터빈 설계 및 발전 솔루션 사업 운영
A_167,BF_207,OPERATES,0.95,SMR 설계 및 플랫폼 사업 참여
A_161,BF_207,OPERATES,0.97,SMR 및 원전 EPC 사업 운영
A_161,BF_146,OPERATES,0.93,전력 인프라 통합 사업 수행
A_1466,BF_147,OPERATES,0.96,HVDC 변환기 및 전력기기 사업 운영
A_1466,BF_146,OPERATES,0.95,전력 인프라 통합 솔루션 제공
A_1051,BF_353,OPERATES,0.96,가스터빈 및 발전기기 사업 운영
A_1467,BF_353,OPERATES,0.99,가스터빈 설계 및 에너지 솔루션 사업 운영
A_1467,BF_146,OPERATES,0.97,전력 인프라 통합 사업 운영
A_1467,BF_207,OPERATES,0.92,SMR 플랫폼 사업 참여
A_1050,BF_147,OPERATES,0.97,HVDC 및 초고압 전력기기 사업 운영
A_1050,BF_146,OPERATES,0.96,전력 인프라 통합 사업 수
A_1468,BF_146,OPERATES,0.98,전력망 및 송배전 인프라 통합 사업 운영
A_1468,BF_147,OPERATES,0.97,HVDC 변환기 사업 운영
A_1469,BF_125,OPERATES,0.99,풍력발전 터빈 제조 및 운영
A_1470,BF_158,OPERATES,0.98,ESS 및 에너지 저장 플랫폼 사업 운영
