from_asset_id,to_business_field_id,relation_type,confidence,description
A_563,BF_125,OPERATES,0.95,해상풍력 개발 및 운영
A_561,BF_125,OPERATES,0.90,미국 해상풍력 개발
A_562,BF_125,OPERATES,0.93,해상풍력 프로젝트 개발 및 운영
A_311,BF_126,OPERATES,0.91,풍력 터빈 및 중공업 제조
A_560,BF_126,OPERATES,0.96,풍력 터빈 제조 핵심
A_559,BF_126,OPERATES,0.90,풍력 베어링 및 터빈 부품 제조
A_554,BF_127,OPERATES,0.95,해상풍력 하부구조 및 해양 기자재
A_545,BF_127,OPERATES,0.90,전력/EPC/계통 연계 장비
A_555,BF_127,OPERATES,0.90,운송/EPC/기자재 관련 조선 역량
A_556,BF_127,OPERATES,0.89,해양 구조물 및 기자재
A_557,BF_127,OPERATES,0.92,풍력 타워 및 EPC
A_558,BF_127,OPERATES,0.89,풍력 구조물 및 기자재
