from_asset_id,to_business_field_id,relation_type,confidence,description
A_272,BF_102,OPERATES,0.95,방산항공 사업 영위
A_418,BF_102,OPERATES,0.95,방산항공 사업 영위
A_419,BF_102,OPERATES,0.95,방산항공 사업 영위
A_420,BF_102,OPERATES,0.90,방산항공 사업 영위
A_421,BF_102,OPERATES,0.95,방산항공 사업 영위
A_206,BF_102,OPERATES,0.95,방산항공 사업 영위
A_266,BF_103,OPERATES,0.90,AI/데이터 분석 플랫폼
A_425,BF_104,OPERATES,0.90,위성통신 서비스
A_111,BF_104,OPERATES,0.90,위성통신 서비스
A_426,BF_104,OPERATES,0.80,위성기반 데이터 서비스
A_270,BF_105,OPERATES,0.90,무인전투기/드론 사업
A_271,BF_105,OPERATES,0.90,무인전투기/드론 사업
A_423,BF_106,OPERATES,0.95,UAM/eVTOL 항공 사업
A_424,BF_106,OPERATES,0.95,UAM/eVTOL 항공 사업
A_307,BF_106,OPERATES,0.80,UAM/eVTOL 항공 생태계 참여
A_118,BF_107,OPERATES,0.95,우주발사체/탐사 사업
A_422,BF_107,OPERATES,0.90,우주발사체/탐사 사업
A_137,BF_107,OPERATES,0.95,우주발사체/탐사 사업
