asset_id,theme_id,relation_type,confidence,description
A_272,T_052,THEMED_AS,0.95,미국 방산항공 핵심 업체
A_413,T_052,THEMED_AS,0.95,미국 방산항공 핵심 업체
A_414,T_052,THEMED_AS,0.95,미국 방산항공 핵심 업체
A_415,T_052,THEMED_AS,0.9,항공/방산 및 항공전자 핵심 업체
A_416,T_052,THEMED_AS,0.95,미국 방산 대표 기업
A_206,T_052,THEMED_AS,0.95,방산항공 대표 기업
A_118,T_052,THEMED_AS,0.95,민간 우주발사 대표 기업
A_417,T_052,THEMED_AS,0.9,달탐사 및 우주임무 기업
A_137,T_052,THEMED_AS,0.95,민간 우주항공 대표 비상장 기업
A_418,T_052,THEMED_AS,0.9,UAM/eVTOL 대표 기업
A_419,T_052,THEMED_AS,0.9,UAM/eVTOL 대표 기업
A_307,T_052,THEMED_AS,0.9,항공엔진 및 UAM 생태계 핵심
A_420,T_052,THEMED_AS,0.9,위성 직접통신 대표 기업
A_111,T_052,THEMED_AS,0.85,위성통신 서비스 기업
A_421,T_052,THEMED_AS,0.85,위성 데이터 서비스 기업
A_266,T_052,THEMED_AS,0.85,국방/우주 데이터 분석 소프트웨어 기업
A_270,T_052,THEMED_AS,0.9,무인전투기 및 드론 관련 기업
A_271,T_052,THEMED_AS,0.9,드론 및 무인항공기 기업
