from_asset_id,to_business_field_id,relation_type,confidence,description
A_570,BF_128,OPERATES,0.95,지상화력·기동 전장 시스템
A_571,BF_128,OPERATES,0.90,지상 기동 플랫폼 관련
A_572,BF_128,OPERATES,0.94,지상 기동 구동 계열
A_573,BF_128,OPERATES,0.93,기동·변속 시스템
A_574,BF_128,OPERATES,0.93,엔진 계열
A_575,BF_128,OPERATES,0.92,방탄·장갑 소재
A_576,BF_128,OPERATES,0.90,탄약·금속 소재
A_580,BF_129,OPERATES,0.94,유도무기·레이더 센서
A_579,BF_129,OPERATES,0.92,RF·레이더 부품
A_578,BF_129,OPERATES,0.88,유도무기·전자전 계열 전원/전자
A_578,BF_130,OPERATES,0.86,항공·우주 전장 계열 일부
A_577,BF_130,OPERATES,0.90,항공 구조물·우주 부품
