asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_266,Palantir Technologies,팔란티어,PLTR,NYSE,US,STOCK
A_216,Anthropic,엔트로픽(비),,,US,PRIVATE
A_137,SpaceX,스페이스X(비),,,US,PRIVATE
A_267,Oshkosh Corporation,오쉬코쉬,OSK,NYSE,US,STOCK
A_268,Textron,텍스트론,TXT,NYSE,US,STOCK
A_269,Ondas Holdings,온다스홀딩스,ONDS,NASDAQ,US,STOCK
A_270,Kratos Defense & Security Solutions,크라토스,KTOS,NASDAQ,US,STOCK
A_271,AeroVironment,에어로바이론먼트,AVAV,NASDAQ,US,STOCK
A_272,L3Harris Technologies,L3해리스테크놀로지스,LHX,NYSE,US,STOCK
A_273,MP Materials,MP머티리얼즈,MP,NYSE,US,STOCK
