asset_id,theme_id,relation_type,confidence,description
A_383,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_384,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_385,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_386,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_387,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_388,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_389,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_390,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_391,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_392,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_393,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
A_394,T_047,THEMED_AS,0.95,K-건설주 테마 핵심 종목
