asset_id,theme_id,relationship_type,confidence,description
A_1370,T_215,THEMED_AS,0.95,위성통신 인프라 관련 수혜
A_199,T_215,THEMED_AS,0.94,광통신 네트워크 장비 공급
A_1371,T_215,THEMED_AS,0.93,무선 네트워크 장비 공급
A_1372,T_215,THEMED_AS,0.95,통신 인프라 장비 공급
A_596,T_215,THEMED_AS,0.95,통신 네트워크 장비 사업
A_1373,T_215,THEMED_AS,0.92,통신 부품 및 안테나 사업
A_591,T_215,THEMED_AS,0.96,기지국 장비 공급
A_592,T_215,THEMED_AS,0.97,통신장비 핵심 공급
A_579,T_215,THEMED_AS,0.95,RF 통신부품 공급
A_1374,T_215,THEMED_AS,0.91,광통신 솔루션 공급
A_594,T_215,THEMED_AS,0.94,광통신 부품 공급
A_1375,T_215,THEMED_AS,0.94,통신 계측 및 최적화 솔루션
A_1376,T_215,THEMED_AS,0.98,해상 위성통신 단말 공급
A_1377,T_215,THEMED_AS,0.92,통신장비 제조 사업
A_400,T_215,THEMED_AS,0.95,광통신 네트워크 핵심 부품 공급
