asset_id,bf_id,relationship_type,confidence,description
A_1370,BF_393,OPERATES,0.98,위성통신 서비스 사업
A_199,BF_389,OPERATES,0.97,통신 네트워크 장비 공급
A_1371,BF_389,OPERATES,0.96,무선 네트워크 장비 사업
A_1372,BF_390,OPERATES,0.97,기지국 장비 공급
A_596,BF_389,OPERATES,0.98,통신 네트워크 장비 사업
A_1373,BF_392,OPERATES,0.92,안테나 및 통신부품 제조
A_591,BF_390,OPERATES,0.97,기지국 장비 사업
A_592,BF_390,OPERATES,0.98,통신 기지국 장비 제조
A_579,BF_392,OPERATES,0.96,RF 통신부품 공급
A_1374,BF_391,OPERATES,0.91,광통신 솔루션 공급
A_594,BF_391,OPERATES,0.95,광통신 부품 제조
A_1375,BF_389,OPERATES,0.94,통신 최적화 장비 공급
A_1376,BF_393,OPERATES,0.99,해상 위성통신 단말 공급
A_1377,BF_389,OPERATES,0.92,통신장비 제조 사업
A_400,BF_391,OPERATES,0.97,광통신 네트워크 부품 공급
