asset_id,theme_id,relation_type,confidence,description
A_748,T_098,THEMED_AS,0.95,중국 이커머스 및 저가 소비 플랫폼 성장 수혜
A_211,T_098,THEMED_AS,0.95,글로벌 플랫폼 및 클라우드 성장 대표주
A_019,T_098,THEMED_AS,0.95,한국 이커머스 및 물류 플랫폼 성장주
A_366,T_098,THEMED_AS,0.95,동남아 플랫폼 생태계 확장 수혜
A_350,T_098,THEMED_AS,0.95,핀테크 기반 고성장 플랫폼
A_367,T_098,THEMED_AS,0.95,라틴아메리카 플랫폼 대표 성장주
A_749,T_098,THEMED_AS,0.95,글로벌 스트리밍 플랫폼 성장주
A_278,T_098,THEMED_AS,0.95,AI·보안·네트워크 인프라 성장주
A_055,T_098,THEMED_AS,0.95,AI 인프라 핵심 대표주
A_118,T_098,THEMED_AS,0.95,우주 발사체 및 국방 우주 성장주
A_365,T_098,THEMED_AS,0.95,디지털 금융 플랫폼 성장주
