asset_id,theme_id,relation_type,confidence,description
A_090,T_020,THEMED_AS,0.90,LNG운반선/플랜트 건조 핵심
A_189,T_020,THEMED_AS,0.80,K-LNG 밸류체인(물류/운송/운영 노출)
A_190,T_020,THEMED_AS,0.95,K-LNG조선 테마 중심(지주/플랫폼)
A_191,T_020,THEMED_AS,0.90,LNG운반선/플랜트 건조 핵심
A_192,T_020,THEMED_AS,0.85,그룹 조선 생산축
A_193,T_020,THEMED_AS,0.85,그룹 조선 생산축(비상장)
A_194,T_020,THEMED_AS,0.90,LNG운반선/플랜트 건조 핵심
A_195,T_020,THEMED_AS,0.80,배관/피팅 공급망 수혜
A_196,T_020,THEMED_AS,0.80,배관/피팅 공급망 수혜
A_197,T_020,THEMED_AS,0.90,LNG 보냉(단열) 핵심
A_198,T_020,THEMED_AS,0.90,LNG 보냉/복합소재 핵심
