from_asset_id,to_business_field_id,relation_type,confidence,description
A_294,BF_083,OPERATES,0.95,대형 투자은행/금융서비스
A_293,BF_083,OPERATES,0.95,대형 상업은행/금융서비스
A_295,BF_083,OPERATES,0.95,대형 금융서비스
A_113,BF_083,OPERATES,0.95,대형 금융서비스
A_296,BF_081,OPERATES,0.95,대형 리테일(유통)
A_297,BF_081,OPERATES,0.95,대형 리테일(홈임프루브먼트)
A_211,BF_081,OPERATES,0.95,대형 리테일(이커머스/플랫폼)
A_298,BF_080,OPERATES,0.95,운송/물류 서비스
A_299,BF_080,OPERATES,0.95,운송/물류 서비스
A_300,BF_079,OPERATES,0.95,식음료 프랜차이즈/외식 서비스
A_301,BF_079,OPERATES,0.95,식음료 서비스
A_302,BF_079,OPERATES,0.95,식음료 서비스
A_303,BF_082,OPERATES,0.95,헬스케어 서비스(보험/관리)
A_304,BF_082,OPERATES,0.95,헬스케어 서비스(병원/의료)
