asset_id,theme_id,relationship_type,confidence,description
A_216,T_024,THEMED_AS,0.95,테마의 중심 기업(엔트로픽)으로 IPO 기대감의 직접 대상
A_050,T_024,THEMED_AS,0.90,엔트로픽 생태계/투자·협력 가능성이 있는 핵심 AI 플랫폼 축
A_055,T_024,THEMED_AS,0.90,엔트로픽 학습·추론 인프라(가속기) 수요와 연동되는 대표 수혜 축
A_211,T_024,THEMED_AS,0.88,클라우드/AI 서비스 확장 및 생태계 연계를 통한 수혜 가능성
A_210,T_024,THEMED_AS,0.85,AI 플랫폼 경쟁 구도 속 엔트로픽 테마와 동행 가능한 대형 수혜 축
A_212,T_024,THEMED_AS,0.82,AI/네트워킹 인프라 관점에서 테마 연계 가능
A_046,T_024,THEMED_AS,0.80,기업용 SW/플랫폼 관점에서 AI 활용 확산에 따른 간접 수혜 가능
A_213,T_024,THEMED_AS,0.78,AI 기능 고도화/업무툴 적용 확산에 따른 간접 수혜 가능
A_214,T_024,THEMED_AS,0.80,통신·AI 서비스/투자 연계 관점에서 간접 수혜 가능
A_215,T_024,THEMED_AS,0.80,SI/클라우드·AI 구축 수요 확산에 따른 국내 간접 수혜 가능
