from_asset_id,to_business_field_id,relation_type,confidence,description
A_1001,BF_269,OPERATES,0.95,상업화된 글로벌 빅파마
A_1002,BF_269,OPERATES,0.95,상업화된 글로벌 빅파마
A_1003,BF_269,OPERATES,0.95,상업화된 글로벌 빅파마
A_1004,BF_269,OPERATES,0.95,상업화된 글로벌 빅파마
A_1005,BF_269,OPERATES,0.95,상업화된 글로벌 빅파마
A_1006,BF_269,OPERATES,0.95,상업화된 글로벌 빅파마
A_1007,BF_268,OPERATES,0.9,상업화된 중형 바이오
A_1008,BF_268,OPERATES,0.9,상업화된 중형 바이오
A_1009,BF_268,OPERATES,0.9,상업화된 중형 바이오
A_1010,BF_268,OPERATES,0.9,상업화된 중형 바이오
A_1015,BF_268,OPERATES,0.9,상업화된 중형 바이오
A_1011,BF_267,OPERATES,0.85,임상 중심 바이오
A_1012,BF_267,OPERATES,0.85,임상 중심 바이오
A_1013,BF_267,OPERATES,0.85,임상 중심 바이오
A_1014,BF_267,OPERATES,0.85,임상 중심 바이오
