asset_id,theme_id,relation_type,confidence,description
A_051,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_052,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_153,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_154,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_003,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_155,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_156,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_157,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_158,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
A_159,T_016,THEMED_AS,0.95,Goldman Sachs 선정 2026 중국 TOP10 테마 편입
