from_asset_id,to_business_field_id,relation_type,confidence,description
A_174,BF_042,OPERATES,0.90,저전력 임베디드 MCU 중심
A_057,BF_042,OPERATES,0.90,엣지 AI SoC/임베디드 영역
A_060,BF_042,OPERATES,0.90,MCU/임베디드 반도체
A_058,BF_042,OPERATES,0.90,임베디드/엣지 컴퓨팅 표준 아키텍처

A_175,BF_043,OPERATES,0.85,엣지 연산/로직 확장(프로그래머블)
A_176,BF_043,OPERATES,0.85,엣지 AI IP/DSP 및 로직 연계
A_177,BF_043,OPERATES,0.90,FPGA/커스텀 로직 핵심

A_085,BF_044,OPERATES,0.85,디바이스/부품(모듈·부품군)
A_080,BF_044,OPERATES,0.85,디바이스/부품(센서·모듈군)
A_178,BF_044,OPERATES,0.80,디바이스/부품 구현·생산
