asset_id,theme_id,relation_type,confidence,description
A_502,T_061,THEMED_AS,0.95,천연가스 가격 헤지
A_503,T_061,THEMED_AS,0.95,에너지 섹터 헤지
A_070,T_061,THEMED_AS,0.95,원유 가격 헤지
A_063,T_061,THEMED_AS,0.95,금 가격 헤지
A_432,T_061,THEMED_AS,0.95,방산 ETF
A_504,T_061,THEMED_AS,0.95,방산 ETF
A_505,T_061,THEMED_AS,0.90,AI/전쟁 수혜 ETF
A_266,T_061,THEMED_AS,0.95,국방 데이터 분석
A_280,T_061,THEMED_AS,0.95,사이버보안 수혜
A_506,T_061,THEMED_AS,0.95,사이버보안 수혜
A_507,T_061,THEMED_AS,0.95,국내 방산 ETF
A_508,T_061,THEMED_AS,0.90,에너지 가격 반영
A_509,T_061,THEMED_AS,0.95,컨테이너 운임 수혜
A_510,T_061,THEMED_AS,0.95,벌크 운임 수혜
A_511,T_061,THEMED_AS,0.95,벌크 운임 수혜
A_512,T_061,THEMED_AS,0.95,벌크 운임 수혜
