from_asset_id,to_asset_id,relation_type,confidence,description
A_895,A_896,IN_ETF,0.93,이미지상 BAI 편입종목
A_210,A_896,IN_ETF,0.93,이미지상 BAI 편입종목
A_211,A_896,IN_ETF,0.93,이미지상 BAI 편입종목
A_373,A_896,IN_ETF,0.90,이미지상 BAI 편입종목
A_413,A_896,IN_ETF,0.90,이미지상 BAI 편입종목
A_210,A_897,IN_ETF,0.93,이미지상 ALAI 편입종목
A_211,A_897,IN_ETF,0.93,이미지상 ALAI 편입종목
A_266,A_897,IN_ETF,0.93,이미지상 ALAI 편입종목
A_281,A_897,IN_ETF,0.93,이미지상 ALAI 편입종목
A_373,A_897,IN_ETF,0.93,이미지상 ALAI 편입종목
A_055,A_897,IN_ETF,0.90,이미지상 ALAI 편입종목
A_055,A_898,IN_ETF,0.93,이미지상 AIQ 편입종목
A_373,A_898,IN_ETF,0.90,이미지상 AIQ 편입종목
A_050,A_898,IN_ETF,0.93,이미지상 AIQ 편입종목
A_413,A_899,IN_ETF,0.93,이미지상 ARTY 편입종목
A_055,A_899,IN_ETF,0.90,이미지상 ARTY 편입종목
A_398,A_899,IN_ETF,0.93,이미지상 ARTY 편입종목
A_099,A_899,IN_ETF,0.93,이미지상 ARTY 편입종목
A_056,A_899,IN_ETF,0.93,이미지상 ARTY 편입종목
