asset_id,theme_id,relation_type,confidence,description
A_324,T_116,THEMED_AS,0.95,글로벌 의류 제조 핵심 기업
A_159,T_116,THEMED_AS,0.95,중국 스포츠웨어 대표 기업
A_834,T_116,THEMED_AS,0.95,글로벌 스포츠웨어 1위
A_835,T_116,THEMED_AS,0.95,글로벌 스포츠웨어 기업
A_836,T_116,THEMED_AS,0.95,중국 스포츠 브랜드
A_837,T_116,THEMED_AS,0.9,글로벌 패션 브랜드 포트폴리오
A_838,T_116,THEMED_AS,0.9,데님 중심 글로벌 브랜드
A_839,T_116,THEMED_AS,0.85,중저가 패션 브랜드
A_840,T_116,THEMED_AS,0.85,미국 캐주얼 브랜드
A_841,T_116,THEMED_AS,0.85,미국 패션 브랜드
A_842,T_116,THEMED_AS,0.85,라이프스타일 브랜드
A_843,T_116,THEMED_AS,0.95,ZARA 중심 패스트패션
