asset_id,etf_id,relation_type,confidence,description
A_286,A_1110,IN_ETF,1.0,ABB → IRBO
A_1107,A_1110,IN_ETF,1.0,업스타트 → IRBO
A_055,A_1110,IN_ETF,1.0,엔비디아 → IRBO
A_055,A_145,IN_ETF,1.0,엔비디아 → BOTZ
A_975,A_145,IN_ETF,1.0,인튜이티브서지컬 → BOTZ
A_1112,A_145,IN_ETF,1.0,파눅 → BOTZ
A_1113,A_145,IN_ETF,1.0,키엔스 → BOTZ
A_1114,A_1111,IN_ETF,1.0,아이로봇 → ROBO
A_1115,A_1111,IN_ETF,1.0,옴론 → ROBO
A_1116,A_1111,IN_ETF,1.0,테라다인 → ROBO
A_312,A_1111,IN_ETF,1.0,록웰 → ROBO
A_002,A_144,IN_ETF,1.0,테슬라 → ARKQ
A_1117,A_144,IN_ETF,1.0,코마츠 → ARKQ
A_937,A_144,IN_ETF,1.0,트림블 → ARKQ
