asset_id,theme_id,relation_type,confidence,description
A_1351,T_210,THEMED_AS,0.95,DevOps 기반 고성장 SaaS 기업
A_1352,T_210,THEMED_AS,0.90,엣지 클라우드 및 콘텐츠 전송 SaaS 기업
A_1353,T_210,THEMED_AS,0.96,RPA 기반 업무 자동화 SaaS 기업
A_1354,T_210,THEMED_AS,0.92,재무 자동화 SaaS 플랫폼 기업
A_1355,T_210,THEMED_AS,0.93,실시간 데이터 스트리밍 플랫폼 기업
A_040,T_210,THEMED_AS,0.97,AI 데이터베이스 기반 대표 SaaS 기업
A_276,T_210,THEMED_AS,0.97,클라우드 모니터링 대표 SaaS 기업
A_274,T_210,THEMED_AS,0.98,클라우드 데이터 플랫폼 대표 기업
A_1356,T_210,THEMED_AS,0.88,디지털 마케팅 SaaS 기업
A_1358,T_210,THEMED_AS,0.89,개발자 중심 클라우드 인프라 기업
