from_asset_id,to_business_field_id,relation_type,confidence,description
A_1351,BF_379,OPERATES,0.95,소프트웨어 개발 및 DevOps 플랫폼 운영
A_1352,BF_380,OPERATES,0.92,콘텐츠 전송 및 배포 최적화 플랫폼 운영
A_1353,BF_381,OPERATES,0.95,RPA 기반 업무 자동화 플랫폼 운영
A_1354,BF_381,OPERATES,0.90,기업용 재무 및 백오피스 자동화 서비스 제공
A_1355,BF_382,OPERATES,0.93,실시간 데이터 스트리밍 및 AI 데이터 인프라 제공
A_040,BF_382,OPERATES,0.96,데이터베이스 기반 AI 데이터 처리 플랫폼 운영
A_276,BF_382,OPERATES,0.96,클라우드 모니터링 및 데이터 분석 플랫폼 운영
A_274,BF_382,OPERATES,0.97,AI·클라우드 기반 데이터 웨어하우스 플랫폼 운영
A_1356,BF_383,OPERATES,0.90,디지털 마케팅 및 고객 확보 분석 플랫폼 운영
A_1358,BF_384,OPERATES,0.91,개발자 중심 클라우드 인프라 서비스 제공
A_1357,BF_384,OPERATES,0.85,클라우드 컴퓨팅 관련 ETF 운용
