asset_id,theme_id,relation_type,confidence,description
A_1199,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_1200,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_003,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_153,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_1201,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_1202,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_1203,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_1204,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_1205,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_778,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_779,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
A_323,T_183,THEMED_AS,0.95,차이나EV밸류체인구성자산
