asset_id,theme_id,relation_type,confidence,description
A_091,T_038,THEMED_AS,0.9,g38
A_092,T_038,THEMED_AS,0.9,g38
A_082,T_038,THEMED_AS,0.9,g38
A_209,T_038,THEMED_AS,0.9,g38
A_312,T_038,THEMED_AS,0.9,g38
A_313,T_038,THEMED_AS,0.9,g38
A_314,T_038,THEMED_AS,0.9,g38
A_315,T_038,THEMED_AS,0.9,g38
A_316,T_038,THEMED_AS,0.9,g38
A_317,T_038,THEMED_AS,0.9,g38
A_318,T_038,THEMED_AS,0.9,g38
A_319,T_038,THEMED_AS,0.9,g38
A_320,T_038,THEMED_AS,0.9,g38
A_321,T_038,THEMED_AS,0.9,g38
A_322,T_038,THEMED_AS,0.9,g38
A_323,T_038,THEMED_AS,0.9,g38
