asset_id,theme_id,relationship_type,confidence,description
A_557,T_182,THEMED_AS,0.95,해상풍력 타워 핵심 기업
A_559,T_182,THEMED_AS,0.90,풍력 베어링 부품 기업
A_1196,T_182,THEMED_AS,0.85,풍력발전 시스템 및 기자재 기업
A_1197,T_182,THEMED_AS,0.85,풍력 단조 및 구조부품 기업
A_558,T_182,THEMED_AS,0.90,풍력 타워 구조물 기업
A_604,T_182,THEMED_AS,0.85,해상풍력 구조물 및 강관 관련 기업
A_554,T_182,THEMED_AS,0.95,해상풍력 하부구조물 핵심 기업
A_1198,T_182,THEMED_AS,0.85,해상풍력 기자재 및 프로젝트 관련 기업
A_541,T_182,THEMED_AS,0.85,신재생에너지 개발 및 운영 기업
A_674,T_182,THEMED_AS,0.85,해저케이블 및 해상풍력 인프라 관련 기업
