asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_055,NVIDIA,엔비디아,NVDA,NASDAQ,US,STOCK
A_002,Tesla,테슬라,TSLA,NASDAQ,US,STOCK
A_374,Apple,애플,AAPL,NASDAQ,US,STOCK
A_050,Alphabet,알파벳,GOOGL,NASDAQ,US,STOCK
A_210,Microsoft,마이크로소프트,MSFT,NASDAQ,US,STOCK
A_211,Amazon.com,아마존,AMZN,NASDAQ,US,STOCK
A_373,Meta Platforms,메타,META,NASDAQ,US,STOCK
A_036,ACE US Big Tech 7+ Daily Target Covered Call (synthetic),ACE미국빅테크7+데일리타깃커버드콜(합성),,KRX,KR,ETF
A_1021,Roundhill Magnificent Seven ETF,MAGS,MAGS,NASDAQ,US,ETF
A_1022,ACE US Big Tech TOP7 ETF,ACE미국빅테크TOP7,,KRX,KR,ETF
