from_asset_id,to_business_field_id,relation_type,confidence,description
A_085,BF_196,OPERATES,0.95,유리기판설계
A_080,BF_196,OPERATES,0.95,유리기판설계
A_900,BF_197,OPERATES,0.95,유리기판소재
A_901,BF_197,OPERATES,0.95,유리기판소재
A_902,BF_197,OPERATES,0.95,유리기판소재
A_816,BF_198,OPERATES,0.95,유리기판제조
A_686,BF_198,OPERATES,0.95,유리기판제조
A_903,BF_199,OPERATES,0.95,유리기판장비
A_904,BF_199,OPERATES,0.95,유리기판장비
A_905,BF_199,OPERATES,0.95,유리기판장비
A_906,BF_199,OPERATES,0.95,유리기판장비
A_907,BF_199,OPERATES,0.95,유리기판장비
A_908,BF_199,OPERATES,0.95,유리기판장비
