from_asset_id,to_business_field_id,relationship_type,confidence,description
A_165,BF_375,OPERATES,0.95,우라늄채굴및핵연료사업
A_166,BF_375,OPERATES,0.94,핵연료공급사업
A_1343,BF_375,OPERATES,0.93,우라늄개발사업
A_1344,BF_375,OPERATES,0.93,우라늄생산사업
A_1345,BF_375,OPERATES,0.93,우라늄채굴사업
A_1061,BF_376,OPERATES,0.92,원전기반전력운영
A_1341,BF_376,OPERATES,0.92,발전및전력운영
A_1346,BF_376,OPERATES,0.90,원전전력유틸리티
A_168,BF_377,OPERATES,0.95,SMR설계및제조
A_164,BF_377,OPERATES,0.94,차세대원자로설계
A_1342,BF_377,OPERATES,0.93,마이크로원자로개발
A_169,BF_377,OPERATES,0.89,원전부품제조
A_167,BF_377,OPERATES,0.93,원전설계및제조
A_173,BF_377,OPERATES,0.93,원전설계및건설
A_553,BF_378,OPERATES,0.88,원전인프라투자
A_1350,BF_378,OPERATES,0.88,원자력인프라ETF
