asset_id,theme_id,relation_type,confidence,description
A_217,T_025,THEMED_AS,0.95,글로벌 메모리 및 스토리지 HW 핵심 반도체 기업
A_088,T_025,THEMED_AS,0.95,글로벌 DRAM·NAND 메모리 및 SSD 핵심 공급 기업
A_218,T_025,THEMED_AS,0.95,글로벌 DRAM·NAND 메모리 대표 기업
A_219,T_025,THEMED_AS,0.90,SSD 컨트롤러 기반 스토리지 솔루션 기업
A_220,T_025,THEMED_AS,0.90,NAND 기반 SSD 브랜드 및 제품 기업
A_221,T_025,THEMED_AS,0.95,HDD 및 SSD 스토리지 글로벌 핵심 기업
A_222,T_025,THEMED_AS,0.90,엔터프라이즈 SSD·스토리지 시스템 기업
A_223,T_025,THEMED_AS,0.95,HDD 글로벌 시장 핵심 기업
A_224,T_025,THEMED_AS,0.85,스토리지 탑재 PC·서버 완제품 수요 축
A_225,T_025,THEMED_AS,0.80,스토리지 HW 역사적 핵심 기업(비상장)
A_192,T_025,THEMED_AS,0.90,스토리지 인터페이스·컨트롤러 반도체 공급 기업
