from_asset_id,to_business_field_id,relation_type,confidence,description
A_217,BF_050,OPERATES,0.95,DRAM/HBM 등 메모리 생산 기반(낸드 연계 축 포함)
A_217,BF_051,OPERATES,0.90,SSD/스토리지 생태계와 연동되는 메모리 공급 축
A_088,BF_050,OPERATES,0.95,낸드플래시 등 메모리 생산 및 공급
A_088,BF_051,OPERATES,0.90,SSD/스토리지 연계 메모리 공급 축
A_218,BF_050,OPERATES,0.95,NAND 메모리 생산 및 공급
A_218,BF_051,OPERATES,0.90,SSD/스토리지 연계 메모리 공급 축
A_219,BF_051,OPERATES,0.90,SSD 컨트롤러/스토리지 솔루션 사업
A_220,BF_051,OPERATES,0.85,SSD/플래시 스토리지 제품 축
A_192,BF_051,OPERATES,0.85,스토리지/서버용 연결·컨트롤러/반도체 공급
A_222,BF_051,OPERATES,0.90,엔터프라이즈 SSD/스토리지 시스템 사업
A_221,BF_051,OPERATES,0.85,SSD 저장장치 사업
A_221,BF_052,OPERATES,0.90,HDD 저장장치 사업
A_223,BF_052,OPERATES,0.95,HDD 저장장치 핵심 사업
A_224,BF_052,OPERATES,0.80,HDD 탑재 완제품/채널(수요) 축
A_225,BF_052,OPERATES,0.85,HDD/스토리지 하드웨어 사업 축
