asset_id,theme_id,relation_type,confidence,description
A_232,T_040,THEMED_AS,0.99,TSMC 파운드리 허브
A_055,T_040,THEMED_AS,0.95,핵심 팹리스 고객 (AI GPU)
A_056,T_040,THEMED_AS,0.92,핵심 팹리스 고객 (CPU/GPU)
A_237,T_040,THEMED_AS,0.88,EDA 공급사
A_329,T_040,THEMED_AS,0.90,주요 고객사 (모바일/SoC)
A_330,T_040,THEMED_AS,0.88,ASIC/네트워크 고객
A_331,T_040,THEMED_AS,0.85,모바일 칩 설계 고객
A_332,T_040,THEMED_AS,0.75,제조 파트너/EMS
A_333,T_040,THEMED_AS,0.72,전공정 장비/부품 공급
A_334,T_040,THEMED_AS,0.85,패키징/테스트 파트너
A_335,T_040,THEMED_AS,0.80,PCB/기판 공급
A_336,T_040,THEMED_AS,0.78,PCB/기판 공급
A_337,T_040,THEMED_AS,0.70,패키징 자회사 (비상장)
A_338,T_040,THEMED_AS,0.95,EUV 노광장비 핵심 공급
A_339,T_040,THEMED_AS,0.85,증착 장비 공급
A_340,T_040,THEMED_AS,0.88,전공정 장비 공급
A_341,T_040,THEMED_AS,0.88,식각 장비 공급
A_342,T_040,THEMED_AS,0.88,검사/계측 장비 공급
A_343,T_040,THEMED_AS,0.82,테스트 장비 공급
A_344,T_040,THEMED_AS,0.88,EDA 공급사

A_345,T_040,THEMED_AS,0.83,소재/필터 공급
A_346,T_040,THEMED_AS,0.75,포토레지스트 소재 (비상장)
A_347,T_040,THEMED_AS,0.85,웨이퍼 공급
A_348,T_040,THEMED_AS,0.78,화학 소재 공급

A_349,T_040,THEMED_AS,0.90,TSMC 밸류체인 ETF
