asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_056,Advanced Micro Devices,AMD,AMD,NASDAQ,US,STOCK
A_055,NVIDIA,엔비디아,NVDA,NASDAQ,US,STOCK
A_242,Intel,인텔,INTC,NASDAQ,US,STOCK
A_058,ARM Holdings,ARM,ARM,NASDAQ,US,STOCK
A_059,Qualcomm,퀄컴,QCOM,NASDAQ,US,STOCK
A_413,Broadcom,브로드컴,AVGO,NASDAQ,US,STOCK
A_060,NXP Semiconductors,NXP,NXPI,NASDAQ,US,STOCK
A_189,Texas Instruments,텍사스인스트루먼트,TXN,NASDAQ,US,STOCK
A_232,Taiwan Semiconductor Manufacturing Company,TSMC,2330,TWSE,TW,STOCK
A_662,GlobalFoundries,글로벌파운드리즈,GFS,NASDAQ,US,STOCK
