from_asset_id,to_business_field_id,relation_type,confidence,description
A_217,BF_053,OPERATES,0.98,HBM및DRAM메모리생산
A_088,BF_053,OPERATES,0.96,DRAM및NAND메모리생산
A_088,BF_214,OPERATES,0.95,AI반도체파운드리운영
A_059,BF_385,OPERATES,0.95,AI추론용모바일및엣지칩설계
A_218,BF_053,OPERATES,0.97,DRAM및HBM메모리공급
A_413,BF_385,OPERATES,0.95,AI추론특화네트워크칩설계
A_242,BF_385,OPERATES,0.92,데이터센터용추론프로세서설계
A_056,BF_385,OPERATES,0.96,AIGPU및추론칩설계
A_192,BF_385,OPERATES,0.95,AI추론특화네트워크칩설계
A_1359,BF_385,OPERATES,0.90,ASIC설계및디자인서비스
A_1360,BF_385,OPERATES,0.90,AIASIC턴키설계
A_463,BF_231,OPERATES,0.96,AI서버용고다층PCB제조
